h2s,tz=0,v=1.5
time,h2s,so2
1688197380,NaN,2.000e-01
1688197440,NaN,2.000e-01
1688197500,NaN,2.000e-01
1688197560,NaN,2.000e-01
1688197620,NaN,2.000e-01
1688197680,NaN,2.000e-01
1688197920,6.820e-01,NaN
1688197980,7.230e-01,NaN
1688198040,7.550e-01,NaN
1688198100,8.020e-01,NaN
1688198160,8.740e-01,NaN
1688198220,8.780e-01,NaN
1688198280,8.820e-01,NaN
1688198520,NaN,2.000e-01
1688198580,NaN,2.000e-01
1688198640,NaN,2.000e-01
1688198700,NaN,2.000e-01
1688198760,NaN,2.000e-01
1688198820,NaN,2.000e-01
1688198880,NaN,2.000e-01
1688199120,8.390e-01,NaN
1688199180,7.700e-01,NaN
1688199240,6.960e-01,NaN
1688199300,5.950e-01,NaN
1688199360,4.960e-01,NaN
1688199420,4.770e-01,NaN
1688199480,4.430e-01,NaN
1688199720,NaN,2.000e-01
1688199780,NaN,2.000e-01
1688199840,NaN,2.000e-01
1688199900,NaN,2.000e-01
1688199960,NaN,2.000e-01
1688200020,NaN,2.000e-01
1688200080,NaN,2.000e-01
1688200320,2.000e-01,NaN
1688200380,4.060e-01,NaN
1688200440,2.000e-01,NaN
1688200500,4.090e-01,NaN
1688200560,4.200e-01,NaN
1688200620,4.580e-01,NaN
1688200680,5.140e-01,NaN
1688200920,NaN,2.000e-01
1688200980,NaN,2.000e-01
1688201040,NaN,2.000e-01
1688201100,NaN,2.000e-01
1688201160,NaN,2.000e-01
1688201220,NaN,2.000e-01
1688201280,NaN,2.000e-01
1688201520,5.530e-01,NaN
1688201580,6.200e-01,NaN
1688201640,6.640e-01,NaN
1688201700,6.980e-01,NaN
1688201760,7.530e-01,NaN
1688201820,7.660e-01,NaN
1688201880,7.920e-01,NaN
1688202120,NaN,2.000e-01
1688202180,NaN,2.000e-01
1688202240,NaN,2.000e-01
1688202300,NaN,2.000e-01
1688202360,NaN,2.000e-01
1688202420,NaN,2.000e-01
1688202480,NaN,2.000e-01
1688202720,8.330e-01,NaN
1688202780,9.080e-01,NaN
1688202840,9.760e-01,NaN
1688202900,1.035e+00,NaN
1688202960,1.092e+00,NaN
